,notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19,locality,name,state,long,lat,Cases
2071,2020-03-31,2565.0,Local (Known Contact),X710,South Western Sydney,11500.0,Campbelltown (C) (NSW),MACQUARIE LINKS,"BARDIA, DENHAM COURT, INGLEBURN, MACQUARIE LINKS",NSW,150.843761,-33.996063,3
1954,2020-03-31,2315.0,Local (Unknown Contact),X800,Hunter New England,16400.0,Port Stephens (A),SHOAL BAY,"CORLETTE, FINGAL BAY, GAN GAN, NELSON BAY, SHOAL BAY",NSW,152.193698,-32.746224,9
2715,2020-03-31,2265.0,Overseas,X800,Hunter New England,14650.0,Lake Macquarie (C),MARTINSVILLE,"COORANBONG, MARTINSVILLE",NSW,151.412119,-33.095552000000005,1
587,2020-04-01,2027.0,Overseas,X720,South Eastern Sydney,18500.0,Woollahra (A),POINT PIPER,"DARLING POINT, EDGECLIFF, HMAS RUSHCUTTERS, POINT PIPER",NSW,151.250494,-33.868972,7
2717,2020-04-01,2586.0,Overseas,X840,Murrumbidgee,13910.0,Hilltops (A),TAYLORS FLAT,"BOOROWA, FROGMORE, GOBA CREEK, GODFREYS CREEK, KENYU, MURRINGO, REIDS FLAT, RYE PARK, TAYLORS FLAT",NSW,148.79726399999998,-34.378631,2
1258,2020-04-01,2089.0,Local (Unknown Contact),X760,Northern Sydney,15950.0,North Sydney (A),NEUTRAL BAY JUNCTION,"KURRABA POINT, NEUTRAL BAY, NEUTRAL BAY JUNCTION",NSW,151.216869,-33.838021000000005,9
2551,2020-04-01,2284.0,Overseas,X800,Hunter New England,14650.0,Lake Macquarie (C),WOODRISING,"ARGENTON, BOOLAROO, BOORAGUL, MARMONG POINT, SPEERS POINT, TERALBA, WOODRISING",NSW,151.621183,-32.953236,2
2020,2020-04-01,2529.0,Local (Known Contact),X730,Illawarra Shoalhaven,16900.0,Shellharbour (C),SHELLHARBOUR SQUARE,"BALARANG, BLACKBUTT, DUNMORE, FLINDERS, OAK FLATS, OAK FLATS DC, SHELL COVE, SHELLHARBOUR, SHELLHARBOUR CITY CENTRE, SHELLHARBOUR SQUARE",NSW,150.84583999999998,-34.592433,8
2254,2020-04-01,2009.0,Local (Known Contact),X700,Sydney,17200.0,Sydney (C),PYRMONT,"DARLING ISLAND, PYRMONT",NSW,151.19305500000002,-33.871221999999996,8
1330,2020-04-01,2228.0,Local (Unknown Contact),X720,South Eastern Sydney,17150.0,Sutherland Shire (A),YOWIE BAY,"MIRANDA, YOWIE BAY",NSW,151.101564,-34.037692,5
1074,2020-04-01,2034.0,Overseas,X720,South Eastern Sydney,16550.0,Randwick (C),SOUTH COOGEE,"COOGEE, SOUTH COOGEE",NSW,151.252171,-33.929096,9
2454,2020-04-01,2745.0,Overseas,X750,Nepean Blue Mountains,16350.0,Penrith (C),WALLACIA,"GLENMORE PARK, GREENDALE, LUDDENHAM, MULGOA, REGENTVILLE, WALLACIA",NSW,150.671487,-33.871340999999994,12
2277,2020-04-01,2477.0,Overseas,X810,Northern NSW,10250.0,Ballina (A),WOLLONGBAR,"ALSTONVALE, ALSTONVILLE, BAGOTVILLE, CABBAGE TREE ISLAND, DALWOOD, EAST WARDELL, GOAT ISLAND, LYNWOOD, MEERSCHAUM VALE, PEARCES CREEK, ROUS, ROUS MILL, TUCKOMBIL, URALBA, WARDELL, WOLLONGBAR",NSW,153.427314,-28.907675,4
2595,2020-04-01,2195.0,Local (Known Contact),X700,Sydney,11570.0,Canterbury-Bankstown (A),WILEY PARK,"LAKEMBA, LAKEMBA DC, WILEY PARK",NSW,151.07693899999998,-33.924525,2
2399,2020-04-01,2285.0,Overseas,X800,Hunter New England,14650.0,Lake Macquarie (C),MACQUARIE HILLS,"CAMERON PARK, CARDIFF, CARDIFF HEIGHTS, CARDIFF SOUTH, EDGEWORTH, GLENDALE, MACQUARIE HILLS",NSW,151.651095,-32.933305,3
8,2020-04-01,2121.0,Local (Unknown Contact),X760,Northern Sydney,16260.0,Parramatta (C),NORTH EPPING,"EPPING, NORTH EPPING",NSW,151.079919,-33.774145000000004,4
2525,2020-04-01,2758.0,Overseas,X750,Nepean Blue Mountains,13800.0,Hawkesbury (C),WHEENY CREEK,"BERAMBING, BILPIN, BLAXLANDS RIDGE, EAST KURRAJONG, KURRAJONG, KURRAJONG HEIGHTS, KURRAJONG HILLS, MOUNT TOMAH, MOUNTAIN LAGOON, THE DEVILS WILDERNESS, WHEENY CREEK",NSW,150.601824,-33.483614,4
1142,2020-04-01,2008.0,Local (Unknown Contact),X700,Sydney,17200.0,Sydney (C),GOLDEN GROVE,"CHIPPENDALE, DARLINGTON, GOLDEN GROVE",NSW,151.193858,-33.891146,4
472,2020-04-01,2064.0,Local (Unknown Contact),X760,Northern Sydney,18250.0,Willoughby (C),ARTARMON,ARTARMON,NSW,151.183801,-33.813209,4
1535,2020-04-01,2036.0,Local (Known Contact),X720,South Eastern Sydney,16550.0,Randwick (C),PORT BOTANY,"CHIFLEY, EASTGARDENS, HILLSDALE, LA PEROUSE, LITTLE BAY, MALABAR, MATRAVILLE, PHILLIP BAY, PORT BOTANY",NSW,151.237844,-33.969623999999996,10
1406,2020-04-01,2229.0,Local (Known Contact),X720,South Eastern Sydney,17150.0,Sutherland Shire (A),WARUMBUL,"CARINGBAH, CARINGBAH SOUTH, DOLANS BAY, LILLI PILLI, PORT HACKING, TAREN POINT, WARUMBUL",NSW,151.120091,-34.05494,15
12,2020-04-01,2071.0,Local (Known Contact),X760,Northern Sydney,14500.0,Ku-ring-gai (A),KILLARA,"EAST KILLARA, KILLARA",NSW,151.17173799999998,-33.761834,4
2342,2020-04-01,2211.0,Local (Known Contact),X710,South Western Sydney,11570.0,Canterbury-Bankstown (A),PADSTOW HEIGHTS,"PADSTOW, PADSTOW HEIGHTS",NSW,151.03221000000002,-33.961366,5
